date,T1,RH_1
13/5/16 18:40,26.26,24
13/5/16 14:30,26.26,43.66
13/5/16 14:20,26.26,43.93
13/5/16 18:50,26.2,41.09666667
13/5/16 18:30,26.2,42.66666667
13/5/16 18:20,26.2,42.86666667
13/5/16 15:00,26.2,43.43333333
13/5/16 14:50,26.2,43.5
13/5/16 14:40,26.2,43.52666667
13/5/16 14:10,26.2,44.19666667
13/5/16 19:00,26.16666667,40.26666667
13/5/16 18:10,26.16666667,42.26
13/5/16 15:10,26.16666667,43.26
13/5/16 19:10,26.1,39.72666667
13/5/16 17:00,26.1,41.5
13/5/16 16:50,26.1,41.62666667
13/5/16 16:40,26.1,41.7
13/5/16 16:10,26.1,41.745
13/5/16 17:40,26.1,41.76
13/5/16 16:20,26.1,41.82666667
13/5/16 16:30,26.1,41.82666667
13/5/16 18:00,26.1,41.86666667
13/5/16 16:00,26.1,42.03
13/5/16 15:50,26.1,42.36333333
13/5/16 15:40,26.1,42.8
13/5/16 15:30,26.1,43.06
13/5/16 15:20,26.1,43.2
13/5/16 14:00,26.1,45.15666667
13/5/16 19:20,26.06666667,38.99
13/5/16 17:20,26.06666667,41.7
13/5/16 17:30,26.06666667,41.76
13/5/16 17:10,26.03333333,41.56
13/5/16 17:50,26.03333333,41.7
13/5/16 13:50,26.03333333,45.82333333
13/5/16 19:30,26,38.73
13/5/16 19:40,26,38.79
13/5/16 19:50,26,38.9
13/5/16 20:00,26,39.02666667
13/5/16 20:10,26,39.2
13/5/16 20:20,26,39.2
13/5/16 13:40,25.96333333,46.79
13/5/16 20:40,25.89,38.7
13/5/16 20:30,25.89,38.76
13/5/16 13:30,25.82333333,47.19666667
13/5/16 20:50,25.79,38.73
13/5/16 21:00,25.79,38.86333333
13/5/16 13:20,25.76,47.12666667
13/5/16 21:10,25.73,39.15666667
13/5/16 21:20,25.73,39.29
7/5/16 15:40,25.7,30.85666667
7/5/16 15:20,25.7,30.92666667
7/5/16 16:00,25.7,30.96333333
7/5/16 16:10,25.7,31.23
13/5/16 21:30,25.7,39.4
13/5/16 21:40,25.7,39.4
13/5/16 13:10,25.7,47.2
13/5/16 13:00,25.7,47.46666667
13/5/16 12:50,25.7,47.6
11/5/16 16:20,25.675,47.175
13/5/16 21:50,25.66666667,39.4
7/5/16 15:30,25.63333333,30.79
7/5/16 15:50,25.63333333,30.89
7/5/16 15:10,25.63333333,31.13333333
7/5/16 16:20,25.63333333,31.35666667
11/5/16 16:10,25.63333333,46.82666667
7/5/16 15:00,25.6,31.29
7/5/16 14:50,25.6,31.43
7/5/16 16:30,25.6,31.69666667
7/5/16 16:40,25.6,32.02333333
13/5/16 22:00,25.6,39.4
13/5/16 22:10,25.6,39.4
13/5/16 22:20,25.6,39.4
9/5/16 19:20,25.6,42.62666667
9/5/16 19:00,25.6,42.7
9/5/16 19:10,25.6,42.7
9/5/16 19:30,25.6,42.7
9/5/16 18:50,25.6,42.86
9/5/16 18:40,25.6,43.13333333
9/5/16 18:30,25.6,43.56666667
9/5/16 18:20,25.6,43.82666667
11/5/16 15:30,25.6,46.7
11/5/16 15:40,25.6,46.7
11/5/16 15:50,25.6,46.7
12/5/16 15:30,25.6,46.7
12/5/16 15:40,25.6,46.7
12/5/16 15:50,25.6,46.7
12/5/16 16:00,25.6,46.7
12/5/16 16:10,25.6,46.7
12/5/16 16:20,25.6,46.7
27/5/16 14:20,25.6,46.73
11/5/16 16:00,25.6,46.76
11/5/16 15:10,25.6,46.79
11/5/16 15:20,25.6,46.79
12/5/16 14:50,25.6,46.79
27/5/16 14:10,25.6,46.99
12/5/16 16:30,25.6,47.09333333
27/5/16 17:00,25.6,47.19333333
13/5/16 12:40,25.6,47.95
12/5/16 16:40,25.6,48.23333333
12/5/16 19:30,25.6,48.66333333
12/5/16 19:20,25.6,48.86
12/5/16 19:10,25.6,49.06
12/5/16 16:50,25.6,49.2
12/5/16 19:00,25.6,49.36
12/5/16 18:50,25.6,49.56
12/5/16 18:40,25.6,49.96333333
12/5/16 18:30,25.6,50.29666667
12/5/16 18:20,25.6,50.86
12/5/16 18:10,25.6,51.33333333
12/5/16 18:00,25.6,53.26
7/5/16 14:40,25.56666667,32.35666667
7/5/16 16:50,25.56666667,32.53
9/5/16 19:50,25.56666667,42.7
27/5/16 17:20,25.56666667,46.56
27/5/16 14:30,25.56666667,46.63333333
11/5/16 15:00,25.56666667,46.96333333
12/5/16 20:00,25.56666667,48.36333333
13/5/16 12:30,25.56666667,48.43333333
12/5/16 15:20,25.53333333,46.7
12/5/16 14:40,25.53333333,46.79
27/5/16 17:10,25.53333333,46.86
11/5/16 16:30,25.53333333,48.33333333
12/5/16 17:00,25.53333333,49.26
12/5/16 17:50,25.53333333,49.59333333
12/5/16 19:40,25.525,48.5225
7/5/16 14:30,25.5,32.43
7/5/16 17:00,25.5,32.59
7/5/16 17:10,25.5,32.8
7/5/16 18:00,25.5,32.86
7/5/16 17:50,25.5,33
7/5/16 17:20,25.5,33.13333333
7/5/16 17:40,25.5,33.375
7/5/16 17:30,25.5,33.43333333
7/5/16 18:10,25.5,33.6
7/5/16 18:20,25.5,35.19333333
7/5/16 18:30,25.5,36.93333333
7/5/16 19:00,25.5,37.16
7/5/16 18:50,25.5,37.76333333
13/5/16 22:30,25.5,39.5
13/5/16 22:40,25.5,39.5
7/5/16 18:40,25.5,40.03
9/5/16 21:40,25.5,42.53
9/5/16 21:10,25.5,42.59
9/5/16 21:20,25.5,42.59
9/5/16 21:30,25.5,42.59
9/5/16 21:50,25.5,42.59
9/5/16 19:40,25.5,42.7
9/5/16 21:00,25.5,42.7
9/5/16 20:10,25.5,42.745
9/5/16 20:50,25.5,42.76
9/5/16 20:00,25.5,42.79
9/5/16 20:20,25.5,42.79
9/5/16 20:30,25.5,42.79
9/5/16 20:40,25.5,42.79
9/5/16 18:00,25.5,43.39333333
9/5/16 18:10,25.5,44.26666667
27/5/16 15:40,25.5,45.5225
27/5/16 15:30,25.5,45.59
27/5/16 15:20,25.5,45.62666667
27/5/16 15:50,25.5,45.63333333
27/5/16 16:00,25.5,45.73
27/5/16 15:10,25.5,45.76
27/5/16 16:10,25.5,45.79
27/5/16 15:00,25.5,45.93333333
27/5/16 16:20,25.5,45.93333333
27/5/16 14:50,25.5,46.06
27/5/16 14:40,25.5,46.36
27/5/16 17:30,25.5,46.5
27/5/16 16:40,25.5,46.53
27/5/16 17:40,25.5,46.59666667
27/5/16 18:00,25.5,46.6
12/5/16 15:10,25.5,46.73
12/5/16 15:00,25.5,46.79
12/5/16 14:20,25.5,46.9
12/5/16 14:30,25.5,46.9
27/5/16 17:50,25.5,46.99
12/5/16 14:10,25.5,47.03
27/5/16 14:00,25.5,47.06
12/5/16 14:00,25.5,47.09
27/5/16 13:50,25.5,47.13333333
11/5/16 14:50,25.5,47.16333333
11/5/16 14:40,25.5,47.32666667
27/5/16 16:50,25.5,47.45666667
11/5/16 14:30,25.5,47.46666667
12/5/16 20:10,25.5,48.29
12/5/16 20:20,25.5,48.29
12/5/16 20:30,25.5,48.29
12/5/16 20:40,25.5,48.32666667
12/5/16 20:50,25.5,48.4
12/5/16 19:50,25.5,48.43333333
12/5/16 21:00,25.5,48.43333333
12/5/16 21:10,25.5,48.56
12/5/16 21:20,25.5,48.73
12/5/16 21:30,25.5,48.86333333
12/5/16 17:40,25.5,49
12/5/16 21:40,25.5,49
12/5/16 21:50,25.5,49
11/5/16 20:00,25.5,49.12666667
11/5/16 19:50,25.5,49.2
12/5/16 17:20,25.5,49.2
11/5/16 16:40,25.5,49.22666667
12/5/16 17:10,25.5,49.26
12/5/16 17:30,25.5,49.26
23/5/16 18:10,25.5,49.26666667
11/5/16 19:40,25.5,49.345
11/5/16 19:20,25.5,49.56666667
11/5/16 19:10,25.5,49.62666667
11/5/16 19:30,25.5,49.62666667
11/5/16 16:50,25.5,49.76666667
11/5/16 19:00,25.5,49.83333333
11/5/16 18:50,25.5,50.12666667
11/5/16 18:40,25.5,50.33333333
11/5/16 18:30,25.5,50.53
11/5/16 18:20,25.5,50.66333333
11/5/16 17:20,25.5,50.96666667
11/5/16 17:30,25.5,50.96666667
7/5/16 14:20,25.46333333,32.3
13/5/16 22:50,25.46333333,39.5
9/5/16 17:50,25.46333333,41.92333333
23/5/16 18:20,25.46333333,48.33333333
12/5/16 22:00,25.46333333,49.03
11/5/16 17:00,25.46333333,50.53
11/5/16 17:10,25.46333333,50.79
13/5/16 23:00,25.445,39.5225
7/5/16 19:10,25.42666667,36.96666667
9/5/16 22:00,25.42666667,42.59
27/5/16 16:30,25.42666667,46.06
13/5/16 12:20,25.42666667,48.56666667
11/5/16 17:40,25.42666667,50.9
11/5/16 17:50,25.42666667,50.9
11/5/16 18:10,25.42666667,50.96333333
11/5/16 18:00,25.42666667,51.36333333
7/5/16 19:20,25.39,37.22666667
7/5/16 19:30,25.39,37.56
9/5/16 16:40,25.39,38.93333333
9/5/16 16:50,25.39,39.045
9/5/16 17:00,25.39,39.12666667
9/5/16 17:10,25.39,39.2
9/5/16 17:20,25.39,39.2
9/5/16 17:30,25.39,39.33333333
13/5/16 23:10,25.39,39.53
9/5/16 17:40,25.39,40.25666667
9/5/16 22:10,25.39,42.59
9/5/16 22:20,25.39,42.66333333
9/5/16 22:30,25.39,42.7
9/5/16 22:40,25.39,42.7
9/5/16 22:50,25.39,42.7
9/5/16 23:00,25.39,42.83333333
9/5/16 23:20,25.39,43.09
