product-id,data-time,data-temp,data-humidity
100881,2016/05/12 15:30,25.60,46.70
100881,2016/05/12 15:40,25.60,46.70
100881,2016/05/12 15:50,25.60,46.70
100881,2016/05/12 16:00,25.60,46.70
100881,2016/05/12 16:10,25.60,46.70
100881,2016/05/12 14:50,25.60,46.79
100881,2016/05/12 15:20,25.53,46.70
100881,2016/05/12 14:40,25.53,46.79
100881,2016/05/12 15:10,25.50,46.73
100881,2016/05/12 15:00,25.50,46.79
100881,2016/05/12 14:20,25.50,46.90
100881,2016/05/12 14:30,25.50,46.90
100881,2016/05/12 14:10,25.50,47.03
100881,2016/05/12 14:00,25.50,47.09
100881,2016/05/12 13:50,25.39,47.09
100881,2016/05/12 13:40,25.39,47.16
100881,2016/05/12 13:30,25.39,47.23
100881,2016/05/12 13:20,25.32,47.29
100881,2016/05/12 13:10,25.29,47.33
100881,2016/05/12 13:00,25.29,47.40
100881,2016/05/12 12:50,25.20,47.50
100881,2016/05/12 12:40,25.17,47.59
100881,2016/05/12 12:30,25.10,47.66
100881,2016/05/12 12:20,25.10,47.70
100881,2016/05/12 00:20,25.10,48.00
100881,2016/05/12 00:30,25.10,48.00
100881,2016/05/12 00:40,25.07,48.00
100881,2016/05/12 12:10,25.03,47.76
100881,2016/05/12 11:50,25.00,47.79
100881,2016/05/12 12:00,25.00,47.79
100881,2016/05/12 01:10,25.00,47.90
100881,2016/05/12 01:20,25.00,47.90
100881,2016/05/12 01:30,25.00,47.90
100881,2016/05/12 01:40,25.00,47.90
100881,2016/05/12 01:50,25.00,47.90
100881,2016/05/12 01:00,25.00,47.97
100881,2016/05/12 00:50,25.00,48.00
100881,2016/05/12 11:30,24.96,47.86
100881,2016/05/12 11:40,24.96,47.86
100881,2016/05/12 03:10,24.89,47.50
100881,2016/05/12 03:20,24.89,47.50
100881,2016/05/12 03:00,24.89,47.53
100881,2016/05/12 02:50,24.89,47.59
100881,2016/05/12 02:40,24.89,47.63
100881,2016/05/12 02:30,24.89,47.70
100881,2016/05/12 02:20,24.89,47.76
100881,2016/05/12 02:00,24.89,47.79
100881,2016/05/12 02:10,24.89,47.79
100881,2016/05/12 11:20,24.89,47.90
100881,2016/05/12 11:10,24.89,47.97
100881,2016/05/12 10:30,24.89,48.00
100881,2016/05/12 10:40,24.89,48.00
100881,2016/05/12 10:50,24.89,48.00
100881,2016/05/12 11:00,24.89,48.00
100881,2016/05/12 03:30,24.86,47.40
100881,2016/05/12 08:20,24.86,47.47
100881,2016/05/12 08:40,24.86,47.56
100881,2016/05/12 09:00,24.86,47.66
100881,2016/05/12 09:30,24.86,47.79
100881,2016/05/12 09:40,24.86,47.86
100881,2016/05/12 09:50,24.86,47.86
100881,2016/05/12 10:20,24.86,47.97
100881,2016/05/12 09:20,24.84,47.75
100881,2016/05/12 06:20,24.79,47.00
100881,2016/05/12 06:30,24.79,47.00
100881,2016/05/12 06:40,24.79,47.00
100881,2016/05/12 06:50,24.79,47.00
100881,2016/05/12 07:00,24.79,47.00
100881,2016/05/12 07:10,24.79,47.00
100881,2016/05/12 07:20,24.79,47.00
100881,2016/05/12 07:30,24.79,47.00
100881,2016/05/12 07:40,24.79,47.03
100881,2016/05/12 05:00,24.79,47.09
100881,2016/05/12 06:10,24.79,47.13
100881,2016/05/12 04:50,24.79,47.16
100881,2016/05/12 07:50,24.79,47.16
100881,2016/05/12 04:10,24.79,47.20
100881,2016/05/12 04:20,24.79,47.20
100881,2016/05/12 04:30,24.79,47.20
100881,2016/05/12 04:40,24.79,47.20
100881,2016/05/12 08:00,24.79,47.23
100881,2016/05/12 04:00,24.79,47.29
100881,2016/05/12 03:40,24.79,47.33
100881,2016/05/12 03:50,24.79,47.36
100881,2016/05/12 08:10,24.79,47.36
100881,2016/05/12 06:00,24.79,47.38
100881,2016/05/12 08:30,24.79,47.47
100881,2016/05/12 05:50,24.79,47.56
100881,2016/05/12 08:50,24.79,47.56
100881,2016/05/12 09:10,24.79,47.66
100881,2016/05/12 10:00,24.79,47.79
100881,2016/05/12 10:10,24.79,47.83
100881,2016/05/12 05:10,24.76,47.09
100881,2016/05/12 05:30,24.70,47.06
100881,2016/05/12 05:20,24.70,47.09
100881,2016/05/12 05:40,24.70,47.19
108435,2016/02/10 00:00,22.50,42.73
108435,2016/02/09 23:50,22.50,42.86
108435,2016/02/10 00:20,22.39,42.50
108435,2016/02/10 00:10,22.39,42.56
108435,2016/02/10 00:30,22.36,42.40
108435,2016/02/10 00:40,22.29,42.33
108435,2016/02/10 00:50,22.29,42.40
108435,2016/02/10 01:00,22.23,42.27
108435,2016/02/10 01:10,22.20,42.16
108435,2016/02/10 01:20,22.13,42.09
108435,2016/02/10 01:30,22.10,42.00
108435,2016/02/10 01:40,22.10,42.00
108435,2016/02/10 01:50,22.00,41.90
108435,2016/02/10 02:00,22.00,41.90
108435,2016/02/10 02:10,21.96,41.90
108435,2016/02/10 02:20,21.89,41.83
108435,2016/02/10 02:30,21.84,41.85
108435,2016/02/10 02:40,21.79,41.79
108435,2016/02/10 02:50,21.79,41.79
108435,2016/02/10 03:00,21.76,41.79
108435,2016/02/10 03:20,21.70,41.70
108435,2016/02/10 03:10,21.70,41.73
108435,2016/02/10 03:30,21.63,41.63
108435,2016/02/10 03:40,21.60,41.59
108435,2016/02/10 03:50,21.60,41.59
108435,2016/02/10 04:00,21.50,41.70
108435,2016/02/10 04:10,21.50,41.70
108435,2016/02/10 04:20,21.46,41.56
108435,2016/02/10 04:30,21.39,41.56
108435,2016/02/10 04:40,21.39,41.59
108435,2016/02/10 04:50,21.39,41.59
108435,2016/02/10 05:00,21.29,41.70
108435,2016/02/10 05:10,21.29,41.70
108435,2016/02/10 05:20,21.29,41.70
108435,2016/02/10 05:30,21.23,41.63
108435,2016/02/10 05:40,21.20,41.70
108435,2016/02/10 05:50,21.18,41.70
108435,2016/02/10 06:00,21.17,41.70
108435,2016/02/10 06:10,21.10,41.70
108435,2016/02/10 06:20,21.10,41.70
108435,2016/02/10 06:30,21.07,41.66
108435,2016/02/10 06:40,21.00,41.59
108435,2016/02/10 06:50,21.00,41.59
108435,2016/02/10 07:00,21.00,41.59
108435,2016/02/10 07:10,21.00,41.66
108435,2016/02/10 07:30,21.00,41.70
108435,2016/02/10 07:20,21.00,41.73
108435,2016/02/10 07:40,21.00,41.76
108435,2016/02/10 07:50,20.96,41.90
108435,2016/02/10 08:00,20.96,41.97
113675,2016/03/11 21:30,21.60,35.29
113675,2016/03/11 21:40,21.60,35.36
113675,2016/03/11 21:10,21.57,35.40
113675,2016/03/11 21:50,21.53,35.29
113675,2016/03/11 21:20,21.53,35.36
113675,2016/03/11 21:00,21.50,35.47
113675,2016/03/11 22:00,21.50,35.50
113675,2016/03/11 22:10,21.50,35.70
113675,2016/03/11 22:20,21.50,35.76
113675,2016/03/11 20:40,21.39,35.40
113675,2016/03/11 20:50,21.39,35.40
113675,2016/03/11 22:30,21.39,35.79
113675,2016/03/11 20:30,21.29,35.43
113675,2016/03/11 20:20,21.23,35.50
113675,2016/03/11 20:10,21.17,35.53
113675,2016/03/11 20:00,21.10,35.66
113675,2016/03/11 19:50,21.10,35.86
113675,2016/03/11 19:40,21.03,36.06
113675,2016/03/11 16:30,21.00,33.06
113675,2016/03/11 16:20,21.00,33.16
113675,2016/03/11 16:00,21.00,33.29
113675,2016/03/11 16:10,21.00,33.36
113675,2016/03/11 15:50,21.00,33.43
113675,2016/03/11 15:20,21.00,33.50
113675,2016/03/11 15:30,21.00,33.52
113675,2016/03/11 15:40,21.00,33.59
113675,2016/03/11 19:30,20.96,36.46
113675,2016/03/11 16:40,20.93,32.73
113675,2016/03/11 16:50,20.89,32.29
113675,2016/03/11 17:00,20.89,32.36
113675,2016/03/11 17:10,20.89,32.36
113675,2016/03/11 15:00,20.89,33.50
113675,2016/03/11 15:10,20.89,33.50
113675,2016/03/11 19:20,20.89,36.86
113675,2016/03/11 14:50,20.86,33.63
113675,2016/03/11 19:10,20.86,37.40
